F = 1e-07; Nimp = 6; Range: [5.0, 11.0]
i = 9.979999999999968, C = 563.2079390821283, a = 16.781059845583776, m = 11.0, p = 5.0, r = 17.28586705953734, D = 0.826982976413499
i = 10.039999999999967, C = 566.5939587559687, a = 16.83142832257513, m = 11.0, p = 5.0, r = 17.389790107991466, D = 0.8454282381062272
i = 10.099999999999966, C = 569.9799784298091, a = 16.88164651966462, m = 11.0, p = 5.0, r = 17.4937131564456, D = 0.8625735343912636
i = 10.159999999999966, C = 573.3659981036496, a = 16.93171577400899, m = 11.0, p = 5.0, r = 17.597636204899732, D = 0.8784170127555833
i = 10.219999999999967, C = 576.7520177774901, a = 16.981637403052307, m = 11.0, p = 5.0, r = 17.701559253353867, D = 0.8929709716094051
i = 10.279999999999966, C = 580.1380374513304, a = 17.031412704930418, m = 11.0, p = 5.0, r = 17.805482301807995, D = 0.9062607180549196
i = 10.339999999999964, C = 583.5240571251709, a = 17.08104295886482, m = 11.0, p = 5.0, r = 17.909405350262126, D = 0.9183232158056942
i = 10.399999999999965, C = 586.9100767990113, a = 17.130529425546243, m = 11.0, p = 5.0, r = 18.01332839871626, D = 0.9292055740746691
i = 10.459999999999965, C = 590.2960964728519, a = 17.1798733475083, m = 11.0, p = 5.0, r = 18.117251447170393, D = 0.938963430297792
i = 10.519999999999964, C = 593.6821161466922, a = 17.22907594949149, m = 11.0, p = 5.0, r = 18.221174495624524, D = 0.9476592794135298
i = 10.579999999999963, C = 597.0681358205326, a = 17.27813843879792, m = 11.0, p = 5.0, r = 18.325097544078655, D = 0.955360800220029
i = 10.639999999999963, C = 600.4541554943731, a = 17.327062005636922, m = 11.0, p = 5.0, r = 18.429020592532787, D = 0.9621392253208091
i = 10.699999999999964, C = 603.8401751682136, a = 17.375847823461932, m = 11.0, p = 5.0, r = 18.53294364098692, D = 0.9680677956622399
i = 10.759999999999962, C = 607.226194842054, a = 17.424497049298928, m = 11.0, p = 5.0, r = 18.636866689441053, D = 0.9732203340294857
i = 10.819999999999961, C = 610.6122145158944, a = 17.47301082406656, m = 11.0, p = 5.0, r = 18.74078973789518, D = 0.9776699644985616
i = 10.879999999999962, C = 613.9982341897348, a = 17.521390272888375, m = 11.0, p = 5.0, r = 18.844712786349316, D = 0.981487997139898
i = 10.939999999999962, C = 617.3842538635754, a = 17.56963650539725, m = 11.0, p = 5.0, r = 18.94863583480345, D = 0.9847429896130317
